chng_type,Type,area_ha
loss,Delta_8827,262.0827652
gain,Delta_8828,301.6230129
loss,Delta_8828,299.6917009
gain,Delta_8830,45.29705351
loss,Delta_8830,95.45599717
gain,Delta_8831,82.62716066
loss,Delta_8831,16.12532045
gain,Delta_8832,329.2229884
loss,Delta_8832,135.6229832
gain,Delta_8834,649.0034751
loss,Delta_8834,504.4644635
gain,Delta_8835,308.843764
loss,Delta_8835,121.8642008
gain,Delta_8836,1458.544443
loss,Delta_8836,511.9586317
gain,Estuary_1002,116.544015
loss,Estuary_1002,23.81787184
gain,Estuary_10040,0.111632149
loss,Estuary_10040,4.502320174
gain,Estuary_1005,0.066017506
loss,Estuary_1005,1.493163147
gain,Estuary_10082,3.233014958
loss,Estuary_10082,1.366508343
gain,Estuary_10089,0.2485267
loss,Estuary_10089,0.097630536
gain,Estuary_101,1.713677209
loss,Estuary_101,2.005870266
gain,Estuary_1010,8.187629164
loss,Estuary_1010,69.99603851
gain,Estuary_10124,0.663510461
loss,Estuary_10124,7.766273589
gain,Estuary_1014,69.50671287
loss,Estuary_1014,75.14402378
loss,Estuary_10141,0.609770804
gain,Estuary_10146,82.83728925
loss,Estuary_10146,8.419693122
gain,Estuary_1016,0.095190366
loss,Estuary_1016,8.170997186
loss,Estuary_10179,0.058869416
gain,Estuary_1019,0.952959956
loss,Estuary_1019,2.999355431
gain,Estuary_1021,6.811707268
loss,Estuary_1021,40.09199913
loss,Estuary_10216,0.100864938
gain,Estuary_10250,1.953528704
loss,Estuary_10250,15.14078314
gain,Estuary_1027,0.030420804
loss,Estuary_1027,0.405282391
gain,Estuary_1031,0.480772233
loss,Estuary_1031,24.62873974
gain,Estuary_10314,10.35989563
loss,Estuary_10314,5.653386672
gain,Estuary_10334,184.7204504
loss,Estuary_10334,4.644681236
gain,Estuary_1036,0.772528305
loss,Estuary_1036,14.61743392
gain,Estuary_1037,1.16547148
loss,Estuary_1037,8.434599071
gain,Estuary_1040,0.097327273
loss,Estuary_1040,5.213319509
gain,Estuary_10419,0.632620192
loss,Estuary_10419,11.47576311
gain,Estuary_10441,4.813495804
loss,Estuary_10441,13.77603652
gain,Estuary_1059,0.059058414
loss,Estuary_1059,7.50612743
gain,Estuary_107,110.1776414
loss,Estuary_107,14.61659684
gain,Estuary_1072,1.095098234
loss,Estuary_1072,6.965686412
gain,Estuary_1077,0.39682268
loss,Estuary_1077,0.597341566
gain,Estuary_1080,0.611569673
loss,Estuary_1080,29.28317191
gain,Estuary_1085,1.206462454
loss,Estuary_1085,3.840341938
gain,Estuary_1087,61.91920691
loss,Estuary_1087,146.2635499
gain,Estuary_1091,0.251731929
loss,Estuary_1091,8.165296649
gain,Estuary_1092,0.066134945
loss,Estuary_1092,2.874979883
gain,Estuary_1095,1.687389291
loss,Estuary_1095,24.53653917
gain,Estuary_1102,0.545782014
loss,Estuary_1102,0.435169109
gain,Estuary_1104,7.093363152
loss,Estuary_1104,20.3315864
gain,Estuary_1108,0.641203547
loss,Estuary_1108,0.201224322
gain,Estuary_1110,1.907406966
loss,Estuary_1110,24.83541723
gain,Estuary_1129,2.099167128
loss,Estuary_1129,9.147037728
loss,Estuary_1132,0.833753326
gain,Estuary_1138,17.85338691
loss,Estuary_1138,74.7597353
loss,Estuary_1143,3.378078743
gain,Estuary_1144,1.005893269
loss,Estuary_1144,1.50401606
gain,Estuary_1152,49.04585309
loss,Estuary_1152,6.616843679
gain,Estuary_1159,2.900999743
loss,Estuary_1159,20.77761353
gain,Estuary_1167,161.0568422
loss,Estuary_1167,19.47580643
gain,Estuary_1169,7.139590167
loss,Estuary_1169,33.43678064
gain,Estuary_1170,30.29545923
loss,Estuary_1170,60.99201658
gain,Estuary_1174,0.302866371
loss,Estuary_1174,1.693967645
gain,Estuary_1180,4.701671691
loss,Estuary_1180,44.54201951
gain,Estuary_1183,0.244034557
loss,Estuary_1183,0.979352856
gain,Estuary_1186,2.333409283
loss,Estuary_1186,6.847468602
gain,Estuary_1188,32.68172722
loss,Estuary_1188,3.022438291
gain,Estuary_1196,26.60011496
loss,Estuary_1196,14.87503428
loss,Estuary_12,0.850958292
gain,Estuary_1206,18.10892006
loss,Estuary_1206,4.316192081
gain,Estuary_1207,1.811870907
loss,Estuary_1207,4.856406227
gain,Estuary_1217,9.537759805
loss,Estuary_1217,53.84538945
gain,Estuary_1219,4.674454008
loss,Estuary_1219,11.51696143
gain,Estuary_1223,9.154806541
loss,Estuary_1223,11.45790417
gain,Estuary_1227,5.671257769
loss,Estuary_1227,2.114465179
gain,Estuary_1236,13.92778458
loss,Estuary_1236,12.12684651
gain,Estuary_1240,5.880359719
loss,Estuary_1240,82.1239971
gain,Estuary_1243,73.8340434
loss,Estuary_1243,14.53408087
gain,Estuary_1244,0.049374516
loss,Estuary_1244,0.993845897
gain,Estuary_125,0.003913635
loss,Estuary_125,9.874864126
gain,Estuary_1251,12.59156682
loss,Estuary_1251,15.95064351
gain,Estuary_1253,11.8412668
loss,Estuary_1253,50.80207528
gain,Estuary_1258,1.280467071
loss,Estuary_1258,30.03054436
gain,Estuary_1264,2.572003126
loss,Estuary_1264,24.37577617
gain,Estuary_1268,0.623934551
loss,Estuary_1268,3.501315133
gain,Estuary_1281,2.777938378
loss,Estuary_1281,22.69457668
loss,Estuary_1283,3.844568473
gain,Estuary_1284,14.0076502
loss,Estuary_1284,24.08630073
gain,Estuary_1288,2.054805407
loss,Estuary_1288,0.480892379
gain,Estuary_1293,12.33827618
loss,Estuary_1293,1.282830939
gain,Estuary_1297,0.969432119
loss,Estuary_1297,1.465989282
gain,Estuary_130,0.051207406
loss,Estuary_130,3.154463442
gain,Estuary_1308,2.320674403
loss,Estuary_1308,13.44534883
gain,Estuary_1310,16.02047924
loss,Estuary_1310,65.35030391
gain,Estuary_1314,1.605007706
loss,Estuary_1314,5.440859054
gain,Estuary_1315,4.480420435
loss,Estuary_1315,31.57864929
gain,Estuary_1321,6.61444437
loss,Estuary_1321,7.045427221
gain,Estuary_1331,5.586751926
loss,Estuary_1331,25.46278919
gain,Estuary_1338,0.537060792
loss,Estuary_1338,1.383751169
gain,Estuary_1340,4.74844479
loss,Estuary_1340,176.779672
gain,Estuary_1348,1.773269011
loss,Estuary_1348,0.0268434
gain,Estuary_1351,4.545423229
loss,Estuary_1351,13.0472892
gain,Estuary_1352,0.086290974
loss,Estuary_1352,3.335280349
gain,Estuary_1356,0.440596666
loss,Estuary_1356,11.3673485
gain,Estuary_1367,109.3938105
loss,Estuary_1367,60.62654562
gain,Estuary_1373,0.057042945
loss,Estuary_1373,1.936694869
gain,Estuary_1382,0.009252561
loss,Estuary_1382,4.543910439
gain,Estuary_1402,0.84426915
loss,Estuary_1402,12.37406148
gain,Estuary_141,4.194420331
loss,Estuary_141,6.28231444
gain,Estuary_1419,5.919670229
loss,Estuary_1419,11.55691554
gain,Estuary_1425,1.135229845
loss,Estuary_1425,7.945998573
gain,Estuary_1426,1.273721952
loss,Estuary_1426,20.22060352
gain,Estuary_1432,0.060333374
loss,Estuary_1432,9.772551943
gain,Estuary_1440,0.437697743
loss,Estuary_1440,12.14139457
gain,Estuary_1441,0.180712906
loss,Estuary_1441,1.568550476
gain,Estuary_145,0.100624899
loss,Estuary_145,0.944809099
gain,Estuary_1462,1.006346294
loss,Estuary_1462,5.212674161
gain,Estuary_1478,15.40806586
loss,Estuary_1478,40.3940917
gain,Estuary_151,1.059750004
loss,Estuary_151,1.912324425
gain,Estuary_154,1.162709253
loss,Estuary_154,3.792579876
gain,Estuary_1554,1.044422966
loss,Estuary_1554,6.469132835
gain,Estuary_1559,10.58899348
loss,Estuary_1559,3.853367193
gain,Estuary_156,6.304093673
loss,Estuary_156,14.71452233
gain,Estuary_1572,10.20872502
loss,Estuary_1572,41.83107244
gain,Estuary_1574,0.371332472
loss,Estuary_1574,7.274625926
gain,Estuary_1580,0.0598762
loss,Estuary_1580,3.682936961
gain,Estuary_1582,53.82920104
loss,Estuary_1582,12.90959725
gain,Estuary_1583,2.298557487
loss,Estuary_1583,8.178858598
gain,Estuary_1597,2.116387069
loss,Estuary_1597,1.407160084
gain,Estuary_16,0.006100249
loss,Estuary_16,0.201217253
gain,Estuary_1632,7.423325684
loss,Estuary_1632,6.203154957
gain,Estuary_164,2.662020583
loss,Estuary_164,6.737014498
gain,Estuary_1649,0.000594454
loss,Estuary_1649,0.000151087
gain,Estuary_1667,3.7271166
loss,Estuary_1667,5.010979269
gain,Estuary_168,0.017752472
gain,Estuary_1689,2.03515048
loss,Estuary_1689,39.81688522
gain,Estuary_1709,1.384855555
loss,Estuary_1709,0.361174327
gain,Estuary_1719,25.91417232
loss,Estuary_1719,17.30591419
gain,Estuary_1743,14.651576
loss,Estuary_1743,73.60331054
gain,Estuary_176,0.051258483
loss,Estuary_176,0.311186033
gain,Estuary_1767,8.054558463
loss,Estuary_1767,16.73639958
gain,Estuary_1771,1.918542836
loss,Estuary_1771,22.39459446
gain,Estuary_179,0.13208612
loss,Estuary_179,0.072994412
gain,Estuary_1806,14.53609869
loss,Estuary_1806,2.338067451
gain,Estuary_1831,5.583496704
loss,Estuary_1831,6.066295648
loss,Estuary_185,0.155826926
gain,Estuary_188,2.808031069
loss,Estuary_188,0.720258617
gain,Estuary_1886,7.605551466
loss,Estuary_1886,6.500919054
gain,Estuary_19,69.40367317
loss,Estuary_19,18.53872556
gain,Estuary_1900,42.37345375
loss,Estuary_1900,13.26258125
gain,Estuary_192,5.026509275
loss,Estuary_192,2.307087389
gain,Estuary_1933,0.178188699
loss,Estuary_1933,0.060139737
gain,Estuary_1938,2.375488625
loss,Estuary_1938,4.845112264
gain,Estuary_194,0.506246323
loss,Estuary_194,0.683768388
gain,Estuary_1947,3.205802792
loss,Estuary_1947,4.982077521
gain,Estuary_1954,0.060141197
loss,Estuary_1954,1.339687194
gain,Estuary_197,0.056304241
loss,Estuary_197,0.73712562
gain,Estuary_2015,207.9100518
loss,Estuary_2015,30.03424594
gain,Estuary_2017,4.883875099
loss,Estuary_2017,6.87442932
gain,Estuary_2031,55.15105952
loss,Estuary_2031,49.20315709
gain,Estuary_2033,10.93691501
loss,Estuary_2033,2.849869835
gain,Estuary_2036,2.424647409
loss,Estuary_2036,5.827136232
gain,Estuary_2055,34.6898872
loss,Estuary_2055,15.6449462
loss,Estuary_2071,0.068006924
gain,Estuary_2075,0.834030148
loss,Estuary_2075,21.24820723
gain,Estuary_208,4.00271638
loss,Estuary_208,1.359149716
gain,Estuary_2104,19.12863778
loss,Estuary_2104,71.47518484
gain,Estuary_2106,15.77422746
loss,Estuary_2106,17.34751548
gain,Estuary_2112,10.84653403
loss,Estuary_2112,7.11574057
gain,Estuary_212,0.549084862
loss,Estuary_212,1.160971136
gain,Estuary_2120,0.321062789
loss,Estuary_2120,6.334661236
gain,Estuary_2138,958.109112
loss,Estuary_2138,19.09027462
gain,Estuary_214,8.353266126
loss,Estuary_214,41.62938176
gain,Estuary_2146,221.8360351
loss,Estuary_2146,9.865881264
gain,Estuary_2196,30.3239384
loss,Estuary_2196,43.15985615
gain,Estuary_2244,1.056510611
loss,Estuary_2244,1.75244E-05
loss,Estuary_2259,0.26685123
gain,Estuary_226,57.01325568
loss,Estuary_226,20.04791373
gain,Estuary_2262,112.317291
loss,Estuary_2262,7.014438139
gain,Estuary_2265,1.957487828
loss,Estuary_2265,3.402170656
gain,Estuary_2283,1.938145972
loss,Estuary_2283,33.09372617
gain,Estuary_23,0.210032006
loss,Estuary_23,4.160427421
gain,Estuary_2301,6.457362241
loss,Estuary_2301,89.84575765
gain,Estuary_2307,16.66666959
loss,Estuary_2307,6.715371516
gain,Estuary_231,0.689832641
loss,Estuary_231,7.874847616
gain,Estuary_2313,4.161297557
loss,Estuary_2313,0.542988583
gain,Estuary_232,5.342513843
loss,Estuary_232,5.60786194
gain,Estuary_2331,69.52378845
loss,Estuary_2331,0.603132045
gain,Estuary_2349,1.42885523
loss,Estuary_2349,32.5794227
gain,Estuary_237,1.708962071
loss,Estuary_237,0.919817446
gain,Estuary_241,0.344680008
loss,Estuary_241,2.207026442
gain,Estuary_2417,3.884798266
loss,Estuary_2417,68.19474839
gain,Estuary_242,98.36093144
loss,Estuary_242,9.48235762
gain,Estuary_243,9.738705669
loss,Estuary_243,3.654994497
gain,Estuary_2439,1.907042867
loss,Estuary_2439,2.223360068
gain,Estuary_2459,0.978346771
loss,Estuary_2459,0.745740914
gain,Estuary_2481,12.3132555
loss,Estuary_2481,6.923341524
gain,Estuary_2496,2.103625836
loss,Estuary_2496,0.007922028
gain,Estuary_2516,0.376561665
loss,Estuary_2516,9.472708367
gain,Estuary_2522,0.546989836
loss,Estuary_2522,0.696833078
gain,Estuary_2558,0.424839114
loss,Estuary_2558,0.916521346
loss,Estuary_2584,0.234509442
gain,Estuary_2586,0.664942619
loss,Estuary_2586,7.227975382
gain,Estuary_260,14.25151772
loss,Estuary_260,33.27207976
gain,Estuary_2607,1.235896126
loss,Estuary_2607,20.3121148
gain,Estuary_2624,4.952708035
loss,Estuary_2624,17.88200647
gain,Estuary_2637,2.101519415
loss,Estuary_2637,42.92111642
gain,Estuary_2643,1.779188346
loss,Estuary_2643,14.84862749
gain,Estuary_2653,17.22221167
loss,Estuary_2653,13.65666428
gain,Estuary_2655,0.38547847
loss,Estuary_2655,2.668952099
gain,Estuary_2658,3.357036522
loss,Estuary_2658,5.090937689
loss,Estuary_2665,5.407481147
gain,Estuary_2689,0.794784282
loss,Estuary_2689,10.27145776
gain,Estuary_2702,7.310368736
loss,Estuary_2702,4.030747127
gain,Estuary_2709,22.26200834
loss,Estuary_2709,38.3045313
gain,Estuary_271,8.8238807
loss,Estuary_271,4.594698864
gain,Estuary_2716,2.135954962
loss,Estuary_2716,1.65537368
gain,Estuary_2719,0.793675604
loss,Estuary_2719,0.892479407
gain,Estuary_273,1.961416151
loss,Estuary_273,1.248822093
gain,Estuary_2738,9.339999686
loss,Estuary_2738,0.392390926
gain,Estuary_2739,0.502157152
loss,Estuary_2739,4.018650609
loss,Estuary_2752,0.410344883
gain,Estuary_2754,3.075613626
loss,Estuary_2754,4.380671212
loss,Estuary_2766,0.083394086
gain,Estuary_2774,15.32585968
loss,Estuary_2774,16.78356629
gain,Estuary_2789,1.579351034
loss,Estuary_2789,5.522959648
gain,Estuary_2790,4.910579946
