chng_type,Type,area_ha
gain,Delta_8827,808.5057403
loss,Delta_8827,2955.840224
gain,Delta_8828,507.836441
loss,Delta_8828,1594.101333
gain,Delta_8830,3346.774923
loss,Delta_8830,3416.380953
gain,Delta_8831,81.00458244
loss,Delta_8831,136.3203826
gain,Delta_8832,222.2607906
loss,Delta_8832,797.8953036
gain,Delta_8834,1827.331975
loss,Delta_8834,7468.295066
gain,Delta_8835,2538.818495
loss,Delta_8835,4659.868664
gain,Delta_8836,6967.014882
loss,Delta_8836,49945.30058
gain,Estuary_10,0.192497627
loss,Estuary_10,1.154769256
gain,Estuary_1002,324.4850119
loss,Estuary_1002,1173.639789
gain,Estuary_10040,0.228076189
loss,Estuary_10040,4.783378851
gain,Estuary_1005,0.345971788
loss,Estuary_1005,16.39959953
gain,Estuary_10082,0.172817805
loss,Estuary_10082,0.168491855
gain,Estuary_10089,0.630170143
loss,Estuary_10089,0.732258605
loss,Estuary_10099,0.196574249
gain,Estuary_101,65.39659376
loss,Estuary_101,50.60456759
gain,Estuary_1010,1.997818901
loss,Estuary_1010,113.2180451
loss,Estuary_10105,0.049358988
gain,Estuary_10108,0.84099653
loss,Estuary_10108,1.038898126
gain,Estuary_10111,0.148778132
loss,Estuary_10111,0.843066214
gain,Estuary_10124,1.537857372
loss,Estuary_10124,10.15258177
gain,Estuary_1014,214.8779066
loss,Estuary_1014,325.5587048
gain,Estuary_10141,1.481522689
loss,Estuary_10141,8.805252449
loss,Estuary_10143,0.319221636
gain,Estuary_10146,37.41199474
loss,Estuary_10146,15.88114303
loss,Estuary_10147,0.537234939
gain,Estuary_1016,8.737787862
loss,Estuary_1016,36.87634377
loss,Estuary_10179,0.120910357
gain,Estuary_1019,27.43144863
loss,Estuary_1019,211.9040017
gain,Estuary_1021,384.4174119
loss,Estuary_1021,1335.435138
gain,Estuary_10216,1.082641957
loss,Estuary_10216,231.4640127
gain,Estuary_10250,16.75392652
loss,Estuary_10250,24.75656013
gain,Estuary_1027,0.853345495
loss,Estuary_1027,67.99956668
gain,Estuary_1031,6.642169916
loss,Estuary_1031,191.7793047
gain,Estuary_10314,136.5297593
loss,Estuary_10314,116.5728338
gain,Estuary_10334,5.969098082
loss,Estuary_10334,106.9553657
gain,Estuary_1036,4.472460303
loss,Estuary_1036,18.91630714
gain,Estuary_1037,13.43926929
loss,Estuary_1037,199.5053154
gain,Estuary_1040,0.256200472
loss,Estuary_1040,3.330717019
gain,Estuary_10419,39.53832113
loss,Estuary_10419,315.3068741
gain,Estuary_10441,77.01264146
loss,Estuary_10441,88.72330076
gain,Estuary_1059,0.943161916
loss,Estuary_1059,45.67455522
gain,Estuary_107,121.7400844
loss,Estuary_107,78.1581042
gain,Estuary_1072,12.05747984
loss,Estuary_1072,115.4786347
gain,Estuary_1077,98.40381419
loss,Estuary_1077,170.6425858
gain,Estuary_1080,18.61329655
loss,Estuary_1080,87.84078059
gain,Estuary_1085,44.9306768
loss,Estuary_1085,135.4485053
gain,Estuary_1087,122.8911395
loss,Estuary_1087,216.9662844
gain,Estuary_1091,3.640204775
loss,Estuary_1091,154.0156547
gain,Estuary_1092,2.885389566
loss,Estuary_1092,15.30618987
gain,Estuary_1095,20.73066422
loss,Estuary_1095,239.0818776
gain,Estuary_1102,0.398693167
loss,Estuary_1102,9.128496698
gain,Estuary_1104,53.24354662
loss,Estuary_1104,46.26234568
gain,Estuary_1108,9.039376979
loss,Estuary_1108,138.9215962
gain,Estuary_1110,5.648678733
loss,Estuary_1110,126.4053692
gain,Estuary_1129,9.126726547
loss,Estuary_1129,70.08380553
gain,Estuary_1132,14.71560682
loss,Estuary_1132,10.45455215
gain,Estuary_1138,76.57352463
loss,Estuary_1138,181.5295997
gain,Estuary_1143,1.773806661
loss,Estuary_1143,229.0022774
gain,Estuary_1144,7.212050863
loss,Estuary_1144,3.403752299
gain,Estuary_1152,43.06831606
loss,Estuary_1152,82.93586383
gain,Estuary_1159,12.41555181
loss,Estuary_1159,58.64403206
gain,Estuary_1167,23.08257964
loss,Estuary_1167,218.6494414
gain,Estuary_1169,57.84058114
loss,Estuary_1169,303.114865
gain,Estuary_1170,45.60375225
loss,Estuary_1170,114.2596992
gain,Estuary_1174,79.94248248
loss,Estuary_1174,707.0881769
gain,Estuary_1180,13.89541864
loss,Estuary_1180,72.13190717
gain,Estuary_1183,54.6112648
loss,Estuary_1183,100.254742
gain,Estuary_1186,39.32074101
loss,Estuary_1186,165.3344707
gain,Estuary_1188,34.58357197
loss,Estuary_1188,16.8314324
gain,Estuary_1196,45.18511417
loss,Estuary_1196,58.44856988
gain,Estuary_12,5.458449506
loss,Estuary_12,3.544920401
gain,Estuary_1200,1.066978964
loss,Estuary_1200,15.35399766
gain,Estuary_1206,11.77494084
loss,Estuary_1206,36.00220196
gain,Estuary_1207,21.84612891
loss,Estuary_1207,79.99184824
gain,Estuary_1217,106.6393051
loss,Estuary_1217,384.0578163
gain,Estuary_1219,91.55606981
loss,Estuary_1219,111.7449494
gain,Estuary_1223,15.69725191
loss,Estuary_1223,25.25735341
gain,Estuary_1227,65.77142789
loss,Estuary_1227,114.1274279
gain,Estuary_1236,153.1753867
loss,Estuary_1236,306.2320562
gain,Estuary_1240,48.58902394
loss,Estuary_1240,663.9593717
gain,Estuary_1243,45.45365332
loss,Estuary_1243,15.79134492
gain,Estuary_1244,0.128765473
loss,Estuary_1244,8.329292314
gain,Estuary_125,2.627004699
loss,Estuary_125,58.38097054
gain,Estuary_1251,131.7852693
loss,Estuary_1251,499.4076451
gain,Estuary_1253,61.67077675
loss,Estuary_1253,331.880657
gain,Estuary_1258,15.94064505
loss,Estuary_1258,319.2292967
gain,Estuary_1264,30.72165826
loss,Estuary_1264,159.8006163
gain,Estuary_1268,95.16506326
loss,Estuary_1268,261.6378808
gain,Estuary_1281,26.44135409
